Task,Class_Index,Class_Name,Count,Percentage
舌体颜色,0,淡红,54,27.1356783919598
舌体颜色,1,白,12,6.030150753768844
舌体颜色,2,红,91,45.7286432160804
舌体颜色,3,绛,25,12.562814070351758
舌体颜色,4,紫,17,8.542713567839195
舌体颜色,-1,缺失,0,0.0
舌体特征,0,老,113,56.78391959798995
舌体特征,1,嫩,86,43.21608040201005
舌体特征,-1,缺失,0,0.0
舌体形状,0,胖大,44,22.110552763819097
舌体形状,1,瘦小,23,11.557788944723619
舌体形状,2,正常,132,66.33165829145729
舌体形状,-1,缺失,0,0.0
齿痕,0,无齿痕,159,79.89949748743719
齿痕,1,有齿痕,40,20.100502512562816
齿痕,-1,缺失,0,0.0
点刺,0,无点刺,120,60.30150753768844
点刺,1,有点刺,79,39.698492462311556
点刺,-1,缺失,0,0.0
裂纹,0,无裂纹,64,32.1608040201005
裂纹,1,有裂纹,135,67.8391959798995
裂纹,-1,缺失,0,0.0
舌苔特征,0,舌苔厚,78,39.19597989949749
舌苔特征,1,舌苔薄,120,60.30150753768844
舌苔特征,2,舌苔正常,1,0.5025125628140703
舌苔特征,-1,缺失,0,0.0
滑苔,0,无滑苔,173,86.93467336683418
滑苔,1,有滑苔,26,13.06532663316583
滑苔,-1,缺失,0,0.0
糙苔,0,无糙苔,171,85.92964824120602
糙苔,1,有糙苔,28,14.07035175879397
糙苔,-1,缺失,0,0.0
剥落苔,0,无剥落苔,184,92.46231155778895
剥落苔,1,有剥落苔,15,7.537688442211055
剥落苔,-1,缺失,0,0.0
腐苔,0,无腐苔,195,97.98994974874373
腐苔,1,有腐苔,4,2.0100502512562812
腐苔,-1,缺失,0,0.0
腻苔,0,无腻苔,77,38.69346733668342
腻苔,1,有腻苔,122,61.30653266331658
腻苔,-1,缺失,0,0.0
舌苔颜色,0,白,134,70.15706806282722
舌苔颜色,1,黄,46,24.083769633507853
舌苔颜色,2,灰,7,3.664921465968586
舌苔颜色,3,黑,4,2.094240837696335
舌苔颜色,-1,缺失,8,4.0201005025125625
舌尖红,0,无舌尖红,198,99.49748743718592
舌尖红,1,有舌尖红,1,0.5025125628140703
舌尖红,-1,缺失,0,0.0
舌尖凹陷,0,无舌尖凹陷,186,93.46733668341709
舌尖凹陷,1,有舌尖凹陷,13,6.532663316582915
舌尖凹陷,-1,缺失,0,0.0
