Task,Accuracy,Precision,Recall,F1-Score,Support
舌体颜色,0.5778894472361809,0.39265597147950093,0.34474074074074074,0.3279688547954393,199
舌体特征,0.8542713567839196,0.8131868131868132,0.8604651162790697,0.8361581920903954,199
舌体形状,0.6733668341708543,0.55668358714044,0.34848484848484845,0.2964627108937932,199
齿痕,0.864321608040201,0.8421052631578947,0.4,0.5423728813559322,199
点刺,0.8894472361809045,0.8433734939759037,0.8860759493670886,0.8641975308641975,199
裂纹,0.9045226130653267,0.9142857142857143,0.9481481481481482,0.9309090909090909,199
舌苔特征,0.9246231155778895,0.6159606332905434,0.6158119658119658,0.6157875046763935,199
滑苔,0.8743718592964824,0.6666666666666666,0.07692307692307693,0.13793103448275862,199
糙苔,0.8944723618090452,0.6296296296296297,0.6071428571428571,0.6181818181818182,199
剥落苔,0.9246231155778895,0.0,0.0,0.0,199
腐苔,0.9798994974874372,0.0,0.0,0.0,199
腻苔,0.7386934673366834,0.7651515151515151,0.8278688524590164,0.7952755905511811,199
舌苔颜色,0.7801047120418848,0.36505281690140845,0.41361129136924074,0.38089709940103644,191
舌尖红,0.9949748743718593,0.0,0.0,0.0,199
舌尖凹陷,0.9346733668341709,0.0,0.0,0.0,199
