Task,Total,Valid,Missing,Class Distribution
舌体颜色,199,199,0,"{0: 54, 1: 12, 2: 91, 3: 25, 4: 17}"
舌体特征,199,199,0,"{0: 113, 1: 86}"
舌体形状,199,199,0,"{0: 44, 1: 23, 2: 132}"
齿痕,199,199,0,"{0: 159, 1: 40}"
点刺,199,199,0,"{0: 120, 1: 79}"
裂纹,199,199,0,"{0: 64, 1: 135}"
舌苔特征,199,199,0,"{0: 78, 1: 120, 2: 1}"
滑苔,199,199,0,"{0: 173, 1: 26}"
糙苔,199,199,0,"{0: 171, 1: 28}"
剥落苔,199,199,0,"{0: 184, 1: 15}"
腐苔,199,199,0,"{0: 195, 1: 4}"
腻苔,199,199,0,"{0: 77, 1: 122}"
舌苔颜色,199,191,8,"{0: 134, 1: 46, 2: 7, 3: 4}"
舌尖红,199,199,0,"{0: 198, 1: 1}"
舌尖凹陷,199,199,0,"{0: 186, 1: 13}"
