任务,准确率,F1,精确率,召回率,样本数
舌体颜色,0.6935,0.6464,0.6810,0.6935,199
舌体特征,0.8442,0.8447,0.8462,0.8442,199
舌体形状,0.6985,0.6022,0.6328,0.6985,199
齿痕,0.8744,0.8504,0.8914,0.8744,199
点刺,0.8744,0.8755,0.8842,0.8744,199
裂纹,0.9045,0.9054,0.9075,0.9045,199
舌苔特征,0.9196,0.9173,0.9151,0.9196,199
滑苔,0.9095,0.8975,0.9015,0.9095,199
糙苔,0.9045,0.8825,0.9141,0.9045,199
剥落苔,0.9246,0.8884,0.8549,0.9246,199
腐苔,0.9799,0.9700,0.9602,0.9799,199
腻苔,0.7739,0.7625,0.7796,0.7739,199
舌苔颜色,0.8272,0.7970,0.7753,0.8272,191
舌尖红,0.9950,0.9925,0.9900,0.9950,199
舌尖凹陷,0.9347,0.9031,0.8736,0.9347,199
总体,0.8706,0.8490,0.8538,0.8706,2977
